Boeing Model 40	Boeing aircraft
Toni Basil	Singers from Philadelphia, Pennsylvania, American singer-songwriters, American movie actors, Actors from Philadelphia, Pennsylvania, Choreographers, American dancers, 1943 births, Living people
Polyphenism	Developmental biology, Genetics
Sarah Kofman	French philosophers, French writers, 1934 births, 1994 deaths
Antonov An-26	Civil aircraft, Military aircraft, Soviet & Russian aircraft
Mount Unapproachable	Mountains of the Northern Territory
Peg Entwistle	People who committed suicide, English stage actors, English movie actors, 1908 births, 1932 deaths
Andrea Anders	American television actors, Actors from Wisconsin, 1975 births, Living people, People from Madison, Wisconsin
Thornaby-on-Tees	Towns in North Yorkshire
Lyutvi Mestan	1960 births, Living people, Bulgarian politicians
Kotli	Tehsils of Azad Kashmir
Sengunthar	Hinduism, Tamil culture, Castes in Tamil Nadu
Sam Waterston	1940 births, American movie actors, American television actors, American voice actors, American stage actors, American television directors, American television producers, Actors from Massachusetts, Living people
George Pickingill	English people, 1816 births, 1909 deaths
Shlomo Yanai	1952 births, Living people, Chief executives, Israeli generals, Israeli Jews, Jewish military people
Van Wagenen House	National Register of Historic Places, Jersey City, New Jersey, Houses in the United States, Buildings and structures in New Jersey
Beverly Archer	People from Oak Park, Illinois, American television actors, Actors from Illinois, 1948 births, Living people
Candice King	1987 births, Living people, Actors from Houston, Texas, American television actors
Julie Adams	American movie actors, American television actors, American stage actors, American models, Actors from Arkansas, Actors from Iowa, 1926 births, 2019 deaths, People from Waterloo, Iowa
Margaret Avery	American television actors, American movie actors, 1944 births, Living people
Marvel Rea	People who committed suicide, American movie actors, Actors from Nebraska, 1901 births, 1937 deaths
Brachylophosaurus	Cerapods
Ellen Wilkinson	Drug-related suicides, English politicians, Former Labour MPs (UK), People from Manchester, Politicians from Lancashire, Suicides in the United Kingdom, 1891 births, 1947 deaths
Leaving Las Vegas	1995 movies, 1990s romantic drama movies, American romantic drama movies, English-language movies, Movies about prostitution, Movies set in Las Vegas, Works about alcoholism, American independent movies
Koi... Mil Gaya	Indian movies, 2000s science fiction movies, 2003 movies, Movies about autism, Movies directed by Rakesh Roshan
Easter Monday	Christian holidays, Easter
Juvenile idiopathic arthritis	Autoimmune diseases, Children, Diseases and disorders of joints
Juan Mora Fernández	Presidents of Costa Rica, 1783 births, 1833 deaths, People from San José, Costa Rica
Ketogenic diet	Nutrition
John Connally	1917 births, 1993 deaths, American crime victims, American lawyers, Deaths from pulmonary fibrosis, Disease-related deaths in Texas, Governors of Texas, Politicians from Austin, Texas, Politicians from Fort Worth, Texas, Politicians from Houston, Texas, Politicians from San Antonio, Texas, 1980 United States presidential candidates, United States Secretaries of the Navy, United States Secretaries of the Treasury, US Republican Party politicians
SpaceX	2002 establishments in the United States, Companies based in California, Hawthorne, California, SpaceX, Rockets, Space colonization, Internet service providers, Private spaceflight, Elon Musk
Insulin glargine	Biochemistry
Insulin lispro	Diabetes mellitus, Biochemistry
Dysthymia	Mood disorders
Fibromyalgia	Pain
A Single Man	2009 drama movies, 2000s LGBT movies, American drama movies, American LGBT movies, English-language movies, LGBT drama movies, Mental disorders in fiction, Movies set in Los Angeles, California, Movies set in the 1960s
University of Costa Rica	Costa Rica, Colleges and universities in North America, 1940 establishments, 20th-century establishments in Costa Rica
The Boat Race	1829 establishments in Europe, Rowing, 1820s establishments in England
Lake Maurice	Lakes of South Australia
Serpentine Lakes	Lakes of South Australia, Geography of Western Australia
Google Translate	Google, Technology, Internet
Lake Dey Dey	Lakes of South Australia
Bess Armstrong	American television actors, American movie actors, American stage actors, Actors from Baltimore, Maryland, 1953 births, Living people
Samuel Witwer	1977 births, Living people, American television actors, Actors from Illinois, American voice actors
Highgate	Areas of London, London Borough of Camden, London Borough of Haringey, London Borough of Islington
Finchley	Areas of London, London Borough of Barnet
Boeing 720	Boeing 707
King's Royal Hussars	British Army
Pope Pius I	1st century births, 154 deaths, Italian popes
National Institute of Statistics and Census of Costa Rica	Costa Rica, Government agencies, 1861 establishments, 19th-century establishments in Costa Rica, 1860s establishments in North America
Liberia, Costa Rica	Guanacaste Province, Cities in Costa Rica, 1836 establishments in North America, 19th-century establishments in Costa Rica
Nicoya	Cities in Costa Rica, Guanacaste Province, 1520s establishments in North America, Establishments in Costa Rica
Lens (optics)	Optics
Khuiratta	Tehsils of Azad Kashmir
Lauren Alaina	Country musicians, 1994 births, Living people, Singers from Georgia (U.S. state), American Idol contestants
Banjo-Tooie	2000 video games, 3D platform games, Nintendo 64 games, Xbox 360 Live Arcade games
Stockton-on-Tees	Towns in County Durham, Port cities and towns of the North Sea, Port cities and towns of England
Cashback reward program	Money
Canton (country subdivision)	Cantons
Rafael Ángel Calderón Guardia	Presidents of Costa Rica, 1900 births, 1970 deaths, People from San José, Costa Rica
Karen Black	People from Park Ridge, Illinois, Actors from Chicago, American composers, American movie actors, Screenwriters from Illinois, American stage actors, American television actors, American voice actors, Cancer deaths in the United States, Golden Globe Award winning actors, Movie producers from Chicago, Deaths from liver cancer, Deaths from pancreatic cancer, Singers from Chicago, Writers from Chicago, 1939 births, 2013 deaths
Pit Corder	1918 births, 1990 deaths, Bilingualism and second language acquisition researchers, Linguists
Tracy D. Terrell	Bilingualism and second language acquisition researchers, Linguists, 1991 deaths
Merrill Swain	Living people, Bilingualism and second language acquisition researchers, Canadian academics, Women linguists
Magnetar	Types of stars
Ravindra Prabhat	1969 births, Indian poets, Indian journalists, Living people
Negligent homicide	Types of crime
Crime of passion	Crime
Chancellor (education)	Titles, Colleges and universities
Neck (body part)	Neck
White-headed capuchin	New World monkeys, Mammals of North America, Mammals of South America
Barbara Acklin	African American musicians, Singer-songwriters from Chicago, 1943 births, 1998 deaths, Singer-songwriters from California, Singers from Oakland, California, Writers from Oakland, California
Lola Albright	American movie actors, Actors from Ohio, 1924 births, 2017 deaths, Models from Ohio
Martha Byrne	People from Ridgewood, New Jersey, American television actors, Actors from New Jersey, 1969 births, Living people
Georges Appert	1850 births, 1934 deaths, Foreign advisors to the government in Meiji-period Japan, Japanologists, French writers
Rosanne Cash	American singer-songwriters, singers from Memphis, Tennessee, 1955 births, Living people
Semiotics of culture	Semiotics, Culture, Linguistics
Carrie Brownstein	Actors from Seattle, Washington, American guitarists, American LGBT people, American television actors, Bisexual people, LGBT actors, LGBT musicians, Singers from Seattle, Washington, 1974 births, Living people, American bloggers
Deep brain stimulation	Surgery, Brain
Laura Pausini	1974 births, Living people, Italian singers, Musicians from Emilia-Romagna, Pop singers, Singer-songwriters, Latin Grammy Award winners, Grammy Award winners, Atlantic Records artists
Jane Henson	1934 births, 2013 deaths, Cancer deaths in the United States, Muppets, People from New York City, Puppeteers
Maria Redaelli	1899 births, 2013 deaths, Deaths from natural causes, Italian centenarians, People from Milan, Supercentenarians
Hotel for Dogs (movie)	2000s family movies, 2009 comedy movies, Movies based on books, 2009 movies, English-language movies
Tomkinson Ranges	Mountain ranges of Australia, Mountains of South Australia
Petermann Ranges	Mountain ranges of Australia, Mountains of the Northern Territory, Geography of Western Australia
Battle of Qingshanli	1920, History of Korea, 1920s in Japan, Battles, October events
Peyote	Cactaceae, Illegal drugs
